"Nom","Prenom","Poste","Photo","Championnat","Equipe","Selection","Nationalite"
"Bahlouli","Fares","MOC","http://2015.sofifa.org/15/players/60/214907.png","Ligue 1","Olympique Lyonnais",,"France"
"Lacazette","Alexandre","BU","http://2015.sofifa.org/15/players/60/193301.png","Ligue 1","Olympique Lyonnais","France","France"
"Benzia","Yassine","BU","http://2015.sofifa.org/15/players/60/206436.png","Ligue 1","Olympique Lyonnais",,"France"
"Grenier","Clement","MOC","http://2015.sofifa.org/15/players/60/187924.png","Ligue 1","Olympique Lyonnais","France","France"
"Gonalons","Maxime","MDC","http://2015.sofifa.org/15/players/60/193116.png","Ligue 1","Olympique Lyonnais","France","France"
"Umtiti","Samuel","DC","http://2015.sofifa.org/15/players/60/205600.png","Ligue 1","Olympique Lyonnais",,"France"
"Fekir","Nabil","MOC","http://2015.sofifa.org/15/players/60/216594.png","Ligue 1","Olympique Lyonnais",,"France"
"Gourcuff","Yoann","MOC","http://2015.sofifa.org/15/players/60/153296.png","Ligue 1","Olympique Lyonnais",,"France"
"Fofana","Gueida","MC","http://2015.sofifa.org/15/players/60/188816.png","Ligue 1","Olympique Lyonnais",,"France"
"Lopes","Anthony","G","http://2015.sofifa.org/15/players/60/199482.png","Ligue 1","Olympique Lyonnais","Portugal","Portugal"
"Ferri","Jordan","MC","http://2015.sofifa.org/15/players/60/206306.png","Ligue 1","Olympique Lyonnais",,"France"
"Bedimo","Henri","DG","http://2015.sofifa.org/15/players/60/150565.png","Ligue 1","Olympique Lyonnais","Cameroun","Cameroun"
"N'Jie","Clinton","AID","http://2015.sofifa.org/15/players/60/212273.png","Ligue 1","Olympique Lyonnais","Cameroun","Cameroun"
"Yattara","Mohamed","BU","http://2015.sofifa.org/15/players/60/207640.png","Ligue 1","Olympique Lyonnais",,"Guinee"
"Tolisso","Corentin","MC","http://2015.sofifa.org/15/players/60/219683.png","Ligue 1","Olympique Lyonnais",,"France"
"Mvuemba","Arnold","MC","http://2015.sofifa.org/15/players/60/153298.png","Ligue 1","Olympique Lyonnais",,"France"
"Labidi","Zakarie","MOC",,"Ligue 1","Olympique Lyonnais",,"France"
"Rose","Lindsay","DC","http://2015.sofifa.org/15/players/60/199464.png","Ligue 1","Olympique Lyonnais",,"France"
"Gorgelin","Mathieu","G","http://2015.sofifa.org/15/players/60/199721.png","Ligue 1","Olympique Lyonnais",,"France"
"Jallet","Christophe","DD","http://2015.sofifa.org/15/players/60/150590.png","Ligue 1","Olympique Lyonnais",,"France"
"Zeffane","Mehdi","DD","http://2015.sofifa.org/15/players/60/207745.png","Ligue 1","Olympique Lyonnais",,"France"
"Ghezzal","Rachid","AIG","http://2015.sofifa.org/15/players/60/210372.png","Ligue 1","Olympique Lyonnais",,"France"
"Kone","Bakari","DC","http://2015.sofifa.org/15/players/60/183766.png","Ligue 1","Olympique Lyonnais","Burkina Faso","Burkina Faso"
"Dabo","Mouhamadou","DG","http://2015.sofifa.org/15/players/60/168630.png","Ligue 1","Olympique Lyonnais",,"France"
"Danic","Gael","MC","http://2015.sofifa.org/15/players/60/41835.png","Ligue 1","Olympique Lyonnais",,"France"
"Bisevac","Milan","DC","http://2015.sofifa.org/15/players/60/178111.png","Ligue 1","Olympique Lyonnais","Serbie","Serbie"
"Shin","Kim","BU","http://2015.sofifa.org/15/players/60/221763.png","Ligue 1","Olympique Lyonnais",,"Coree du Sud"
"Kone","Sidy","MDC","http://2015.sofifa.org/15/players/60/204877.png","Ligue 1","Olympique Lyonnais",,"Mali"
"Frick","Jeremy","G","http://2015.sofifa.org/15/players/60/206307.png","Ligue 1","Olympique Lyonnais",,"Suisse"
"Malbranque","Steed","MC","http://2015.sofifa.org/15/players/60/18919.png","Ligue 1","Olympique Lyonnais",,"France"
"N'Gouma","Romaric","DC",,"Ligue 1","Olympique Lyonnais",,"France"
"Paye","Mour","AID",,"Ligue 1","Olympique Lyonnais",,"France"
"Defourny","Theo","G",,"Ligue 1","Olympique Lyonnais",,"Belgique"
